h, км		h_Г, км		T_M, К		p, Па		rho, кг/м^3		T, К		a, м/с		mu, Па*с		nu, м^2/c
0.000		0.000		288.150		101325.000		1.225		288.150		340.294		1.789e-05		1.461e-05
1.500		1.500		278.402		84559.648		1.058		278.402		334.489		1.742e-05		1.646e-05
3.000		2.999		268.659		70121.114		0.909		268.659		328.584		1.694e-05		1.863e-05
4.500		4.497		258.921		57752.515		0.777		258.921		322.573		1.645e-05		2.117e-05
6.000		5.994		249.187		47217.574		0.660		249.187		316.452		1.595e-05		2.416e-05
7.500		7.491		239.457		38299.624		0.557		239.457		310.212		1.544e-05		2.771e-05
9.000		8.987		229.733		30800.626		0.467		229.733		303.848		1.493e-05		3.196e-05
10.500		10.483		220.013		24540.210		0.389		220.013		297.351		1.440e-05		3.706e-05
12.000		11.977		216.650		19399.392		0.312		216.650		295.069		1.422e-05		4.557e-05
13.500		13.471		216.650		15327.598		0.246		216.650		295.069		1.422e-05		5.768e-05
15.000		14.965		216.650		12111.788		0.195		216.650		295.069		1.422e-05		7.300e-05
16.500		16.457		216.650		9571.733		0.154		216.650		295.069		1.422e-05		9.237e-05
18.000		17.949		216.650		7565.210		0.122		216.650		295.069		1.422e-05		1.169e-04
19.500		19.440		216.650		5979.976		0.096		216.650		295.069		1.422e-05		1.478e-04
21.000		20.931		217.581		4728.925		0.076		217.581		295.703		1.427e-05		1.884e-04
22.500		22.421		219.071		3745.585		0.060		219.071		296.713		1.435e-05		2.409e-04
24.000		23.910		220.560		2971.735		0.047		220.560		297.720		1.443e-05		3.074e-04
25.500		25.398		222.048		2361.694		0.037		222.048		298.723		1.451e-05		3.916e-04
27.000		26.886		223.536		1879.966		0.029		223.536		299.722		1.459e-05		4.981e-04
28.500		28.373		225.023		1498.925		0.023		225.023		300.717		1.467e-05		6.323e-04
30.000		29.859		226.509		1197.026		0.018		226.509		301.709		1.475e-05		8.013e-04
31.500		31.345		227.995		957.439		0.015		227.995		302.696		1.483e-05		1.014e-03
